"YC_link","Company_Name","company_description","Batch","Industry","Sub-Industry","Location"
"https://www.ycombinator.com/companies/sciloop","Sciloop","AI Co-Scientist that automates ML experimentation and analysis.","Fall 2025","B2B","Productivity","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/multifactor","Multifactor","Zero-trust authentication, authorization, and auditing for AI agents","Fall 2025","B2B","Security","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/allus-ai","Allus AI","Transforming manufacturing with our next-gen Vision Foundation Model","Fall 2025","Industrials","Manufacturing and Robotics","Atlanta, GA, USA"
"https://www.ycombinator.com/companies/unsiloed-ai","Unsiloed AI","API for parsing multimodal unstructured data","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/sf-tensor","SF Tensor","Infrastructure for AI labs to focus on research.","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/answerthis","AnswerThis","AI platform helping 200k+ researchers accelerate scientific discovery","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/nivara","Nivara","The intelligence layer for how your teams use AI","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lakonia","Lakonia","Delivering AI-powered situational awareness in tactical environments.","Fall 2025","Government","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/sellraze","SellRaze","The fastest way to sell online.","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/mod-ai","Mod AI","AI Agents for Accounts Payable","Fall 2025","B2B","",""
"https://www.ycombinator.com/companies/semble-ai","Semble AI","Autonomous building-system design for construction companies.","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/flick","Flick","Figma + Cursor, for AI Filmmaking","Fall 2025","Consumer","Content","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/hillclimb","hillclimb","The world's first human superintelligence community","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/atlasgrid","AtlasGrid","Accelerate Product Iteration","Fall 2025","B2B","Engineering, Product and Design","Mountain View, CA, USA"
"https://www.ycombinator.com/companies/wardstone","Wardstone","Satellites for Missile Defense","Fall 2025","Industrials","Aviation and Space","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/nessie","Nessie","Shareable AI Brains for Everyone","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/hypercubic","Hypercubic","AI to maintain and modernize COBOL.","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/cranston-ai","Cranston AI","Full Stack AI Accounting Firm","Fall 2025","B2B","Finance and Accounting","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/questom","Questom","AI Agents for B2B Inbound Sales","Fall 2025","B2B","Sales","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/velum-labs","Velum Labs","Firewall that controls access to information across AI and humans","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/veria-labs","Veria Labs","Continuous AI pentesting that finds and fixes vulnerabilities","Fall 2025","B2B","Security","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/iriscal","Iris","The Digital Extension of Yourself","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/playvision","PlayVision","AI Moneyball for Sports","Fall 2025","B2B","Analytics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/koyal","Koyal","Agentic AI Filmmaking Platform","Fall 2025","Consumer","Content","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/kaigo-health","Kaigo Health","AI outpatient care workforce","Fall 2025","Healthcare","Healthcare IT","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/norra","Norra","Automating equipment operations for nursing facilities","Fall 2025","Healthcare","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/soren","Soren","AI agents for evaluating and debugging AI systems.","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lunavo","Lunavo","Lunavo is the AI assistant for carriers.","Fall 2025","B2B","Supply Chain and Logistics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/dari","Dari","An API to build the most reliable browser use agents","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/the-context-company","The Context Company","Semantic observability for AI agents to help teams fix failures fast","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/sorce","Sorce","Tinder for jobs","Fall 2025","B2B","Human Resources","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/caddy","Caddy","The voice interface that works proactively for you","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/alt-x","Alt-X","AI Diligence Tools for Private Investors","Fall 2025","Fintech","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/locus","Locus","Payment infrastructure for AI agents","Fall 2025","B2B","Engineering, Product and Design",""
"https://www.ycombinator.com/companies/deeptrace","Deeptrace","AI agents for on-call","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/aspect-inc","Aspect","AI system of record for enterprise media content","Fall 2025","B2B","Engineering, Product and Design",""
"https://www.ycombinator.com/companies/scoop","Scoop","AI-Platform replacing pharma consultants","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/hyperspell","Hyperspell","Memory for AI Agents","Fall 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/bolna-ai","Bolna AI","Voice AI to enable India's next billion","Fall 2025","B2B","","Bengaluru, KA, India"
"https://www.ycombinator.com/companies/gpt","Nexus","We help non-technical teams build AI agents without engineers","Fall 2025","B2B","","Brussels, Brussels, Belgium"
"https://www.ycombinator.com/companies/sylvian","Sylvian","Data for LLMs through Competition","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/zavo","Zavo","AI Point of Sale for Restaurants","Fall 2025","Fintech","Payments","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/movedot","MOVEdot","AI Agents for Hardware Engineering","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/parrot","Parrot","TikTok for language learning","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/brickwise","Brickwise","AI property manager for landlords and estate agents","Fall 2025","Real Estate and Construction","Housing and Real Estate",""
"https://www.ycombinator.com/companies/parse-bot","Parse","Build an API to interact with any website.","Fall 2025","B2B","",""
"https://www.ycombinator.com/companies/structured-ai","Structured AI","AI workforce for Construction Engineering","Fall 2025","Real Estate and Construction","Construction",""
"https://www.ycombinator.com/companies/uplane","Uplane","Replace marketing agencies with AI","Fall 2025","B2B","Marketing","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/aircaps","AirCaps","The AI copilot for in-person conversations.","Fall 2025","Consumer","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/brickanta","Brickanta","The agentic AI platform for construction estimation & procurement","Fall 2025","B2B","Infrastructure","Stockholm, Stockholm County, Sweden"
"https://www.ycombinator.com/companies/remedy","Remedy","AI Agents for Pharmacies","Fall 2025","Healthcare","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/semiotic","Semiotic","AI Design Agents","Fall 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lapis","Lapis","The Most Accurate AI Search Analytics Platform","Fall 2025","B2B","Analytics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/efference","Efference","We build the eyes and visual cortex for robots.","Fall 2025","Industrials","Manufacturing and Robotics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/digipals","Digipals","The future of Social in the age of AI","Fall 2025","Consumer","Social","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/mixy","Mixy","Make mashups without knowing how to DJ","Fall 2025","Consumer","",""
"https://www.ycombinator.com/companies/autoace","AutoAce","AI-native operating system for car dealerships","Fall 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/fernstone","Fernstone","AI-powered insurance brokerage for high-risk businesses.","Fall 2025","Fintech","Insurance","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/nori","Nori","AI health coach in your pocket","Fall 2025","Healthcare","Consumer Health and Wellness","New York, NY, USA"
"https://www.ycombinator.com/companies/null-labs","Null Labs","End-to-end Simulation for Defense Autonomy","Fall 2025","Industrials","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/parametric","Parametric","Robots for frontline physical labor — starting with laundry","Fall 2025","Industrials","Manufacturing and Robotics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/prox","Prox","AI agents for third-party logistics","Fall 2025","B2B","Supply Chain and Logistics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/fifth-door","Fifth Door","Create and play games with AI","Fall 2025","Consumer","Gaming","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/cohesive","Cohesive","The agentic CRM for blue-collar services","Spring 2025","B2B","","New York, NY, USA"
"https://www.ycombinator.com/companies/docket","Docket","AI agents for web testing","Spring 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/sureform","Sureform","High-quality human data for multimodal and physical AI","Spring 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/foundation-industries","Foundation Industries","We supply hard tech companies with critical components.","Spring 2025","Industrials","",""
"https://www.ycombinator.com/companies/godela","Godela","AI Physics Engine to replace simulations and prototypes","Spring 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/aegis","Aegis","AI Agents to win denied health insurance claims.","Spring 2025","Healthcare","Healthcare IT","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/cascade-space","Cascade Space","Deep space communications as a service","Spring 2025","Industrials","Aviation and Space",""
"https://www.ycombinator.com/companies/bond","Bond","Your AI Chief of Staff","Spring 2025","B2B","Productivity","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/blueshoe","Blueshoe","The AI platform for legal reasoning","Spring 2025","B2B","Legal","Boston, MA, USA"
"https://www.ycombinator.com/companies/sieveai","sieve","AI + human review to solve data cleaning - accessible via API or Excel","Spring 2025","B2B","Finance and Accounting","New York, NY, USA"
"https://www.ycombinator.com/companies/airweave","Airweave","Context retrieval for AI agents across apps and databases","Spring 2025","B2B","Infrastructure",""
"https://www.ycombinator.com/companies/theorem-2","Theorem","Program verification so even your systems engineers can vibecode","Spring 2025","B2B","Security","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/text-ai","Text.ai","AI in your group chats","Spring 2025","Consumer","",""
"https://www.ycombinator.com/companies/starsling","StarSling","Cursor for DevOps","Spring 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/wavedash","Wavedash","Play the latest games in your browser with no downloads","Spring 2025","Consumer","Gaming","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/oncactus","Cactus","24/7 AI Call Center for Home Services","Spring 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/linewise","LineWise","AI platform to train frontline workers to operate and fix issues","Spring 2025","B2B","Operations",""
"https://www.ycombinator.com/companies/code-four","Code Four","Modernizing the police workflow.","Spring 2025","Government","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/lumari","Lumari","AI Digital Workers for Supply Chain","Spring 2025","B2B","Supply Chain and Logistics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/mlop","mlop","Experiment tracking for training ML models","Spring 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/den","Den","Cursor for knowledge workers","Spring 2025","B2B","Productivity",""
"https://www.ycombinator.com/companies/propolis","Propolis","Hands off QA via intelligent browser agents.","Spring 2025","B2B","",""
"https://www.ycombinator.com/companies/cotool","Cotool","AI Agents for Security Operations Teams","Spring 2025","B2B","Security","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/delty","Delty","AI staff engineer: software architect that leads coding agents","Spring 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/nimbic-ai","Nimbic AI","Automatically write and update internal docs with every code commit.","Spring 2025","B2B","Engineering, Product and Design",""
"https://www.ycombinator.com/companies/moby-analytics","Moby Analytics","AI financial auditors","Spring 2025","B2B","Finance and Accounting","Paris, Île-de-France, France"
"https://www.ycombinator.com/companies/rimba","Rimba","AI to replace manual work in environmental compliance reporting","Spring 2025","Industrials","Climate","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/adentris","Adentris","Real-time AI Compliance for Medical Documentation","Spring 2025","Healthcare","Healthcare IT","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/probo","Probo","We help you get compliant while you focus on your business.","Spring 2025","B2B","Security","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/mindfort","MindFort","Autonomous Security Agents","Spring 2025","B2B","Security",""
"https://www.ycombinator.com/companies/chrt","chrt","chrt is a logistics platform for time-critical shipping","Spring 2025","B2B","Supply Chain and Logistics",""
"https://www.ycombinator.com/companies/lapel","Lapel","Scale personalized service to every customer.","Spring 2025","B2B","",""
"https://www.ycombinator.com/companies/mesmer","Mesmer","Cursor for CTOs","Spring 2025","B2B","Engineering, Product and Design","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/relixir","Relixir","Growth Engine for AI Search","Spring 2025","B2B","","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/janus","Janus","Battle-Test AI Agents with Simulation Environments","Spring 2025","B2B","Infrastructure","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/hemut","Hemut","AI-powered operating system for trucking companies.","Spring 2025","B2B","Supply Chain and Logistics","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/zero","Zero","AI powered email client that manages your email so you don't have to.","Spring 2025","B2B","Productivity","San Francisco, CA, USA"
"https://www.ycombinator.com/companies/valuemate","ValueMate","Valuemate automates real estate appraisals with AI","Spring 2025","B2B","",""
"https://www.ycombinator.com/companies/bramante-biologics","Bramante Biologics","American drug manufacturing","Spring 2025","Healthcare","","Cambridge, MA, USA"
"https://www.ycombinator.com/companies/saffron-health","Saffron Health","AI-powered care coordination for primary care","Spring 2025","Healthcare","Healthcare Services","San Francisco, CA, USA"
